"countryID","cpi","cpi_change","gdp","grs_trt_enroll","grs_prm_enroll","life_expect","tax_rev","tax_rate","population","latitude","longitude","continent"
"63","110.62","0.3","238000000000","63.9","106.2","81.3","22.8","39.8","10269417","39.399872","-8.224454","Europe"
"64","115.38","-0.7","183000000000","17.9","103.8","80.1","14.7","11.3","2832067","25.354826","51.183884","Asia"
"65","123.78","3.8","250000000000","49.4","85.2","75.4","14.6","20.0","19356544","45.943161","24.96676","Europe"
"66","180.75","4.5","1700000000000","81.9","102.6","72.7","11.4","46.2","144373535","61.52401","105.318756","Europe"
"67","114.41","0.6","372000000000","84.8","100.6","83.1","13.1","21.0","5703569","1.352083","103.819836","Asia"
"68","115.34","2.7","105000000000","46.6","98.7","77.2","18.7","49.7","5454073","48.669026","19.699024","Europe"
"69","158.93","4.1","351000000000","22.4","100.9","63.9","27.5","29.2","58558270","-30.559482","22.937506","Africa"
"70","115.16","0.4","2030000000000","94.3","98.1","82.6","15.6","33.2","51709098","35.907757","127.766922","Asia"
"71","110.96","0.7","1390000000000","88.9","102.7","83.3","14.2","47.0","47076781","40.463667","-3.74922","Europe"
"73","110.51","1.8","531000000000","67.0","126.6","82.5","27.9","49.1","10285453","60.128161","18.643501","Europe"
"74","99.55","0.4","703000000000","59.6","105.2","83.6","10.1","28.8","8574832","46.818188","8.227512","Europe"
"75","No CPI info","No CPI info","775000000000","9.4","59.2","80.7","9.4","59.2","24859912","23.69781","120.960515","Asia"
"76","187.43","3.5","63177068175","4.0","94.2","65.0","11.5","43.8","58005463","-6.369028","34.888822","Africa"
"77","113.27","0.7","544000000000","49.3","99.8","76.9","14.9","29.5","69625582","15.870032","100.992541","Asia"
"78","234.44","15.2","754000000000","23.9","93.2","77.4","17.9","42.3","83429615","38.963745","35.243322","Asia"
"79","No CPI info","No CPI info","1044778790","9.6","36.6","74.6","9.6","36.6","45114","21.694025","-71.797928","North America"
"80","281.66","7.9","154000000000","82.7","99.0","71.6","20.1","45.2","44385155","48.379433","31.16558","Europe"
"81","114.52","-1.9","421000000000","36.8","108.4","77.8","0.1","15.9","9770529","23.424076","53.847818","Asia"
"82","119.62","1.7","2830000000000","60.0","101.2","81.3","25.5","30.6","66834405","55.378051","-3.435973","Europe"
"83","117.24","7.5","21400000000000","88.2","101.8","78.5","9.6","36.6","328239523","37.09024","-95.712891","North America"
"84","202.92","7.9","56045912952","63.1","108.5","77.8","20.1","41.8","3461734","-32.522779","-55.765835","South America"
"85","No CPI info","No CPI info","57921286440","10.1","104.2","71.6","14.8","31.6","33580650","41.377491","64.585262","Asia"
"87","163.52","2.8","262000000000","28.5","110.6","75.3","19.1","37.6","96462106","14.058324","108.277199","Asia"
