personId,source,sourceID
278,Financial information,246
279,Furniture,270
280,Shoes,604
281,Cheese,105
282,Cheese,105
283,Movies,440
283,Record labels,567
284,Internet search,354
285,Agribusiness,8
286,Semiconductors,597
287,Medical devices,407
288,Real estate,560
289,Photovoltaic equipment,521
290,Pharmaceuticals,517
291,Chemicals,109
292,Airbnb,12
293,Real Estate,559
294,Chemicals,109
295,Real estate,560
296,E-commerce,194
297,Pharmaceuticals,517
298,Home Depot,316
299,Supermarkets,669
300,Sports apparel,642
301,Hedge funds,312
302,Private equity,549
303,Restaurants,572
304,Software,619
305,Petrochemicals,511
306,Textiles,692
306,Apparel,28
307,Real estate,560
308,Manufacturing,397
308,Investments,360
309,Construction,140
309,Investments,360
310,Agriculture,9
311,Cement,101
312,Mining,426
312,Metals,419
312,Machinery,395
313,Fashion retail,232
314,Ports,532
315,Electronics components,212
316,Trading,709
316,Investments,360
317,Electronics,211
318,Real estate,560
318,Investments,360
319,Auto loans,36
320,Pipelines,525
321,Fintech,250
322,Personal care goods,506
323,Beverages,64
324,Healthcare software,307
325,Gambling,273
326,Self storage,593
327,Construction equipment,141
328,Health care,301
329,Banking,49
330,Electronics,211
331,Business software,84
332,Online games,474
333,Online games,474
334,Mapping software,398
335,Paints,492
336,Apparel,28
337,Real estate,560
338,Diversified,187
339,Diversified,187
340,Food distribution,261
341,Food distribution,261
342,Beverages,64
343,Diversified,187
344,Homebuilding,323
344,Insurance,349
345,Cargill,95
346,Hedge fund,311
347,Lithium batteries,381
348,Real estate,560
349,Zara,757
350,Medical equipment,410
351,Pipelines,525
352,Media,405
353,Online gambling,473
354,Pipelines,525
355,Pipelines,525
356,Fidelity,242
357,Tech investments,678
358,Intel,350
359,Hedge funds,312
360,Hedge funds,312
361,Metals,419
361,Investments,360
362,Electronics components,212
363,Pipelines,525
364,Money management,432
365,Hedge funds,312
366,Lego,374
367,Lego,374
368,Lego,374
369,Pharmaceuticals,517
370,Batteries,54
371,Solar panel components,627
372,Chemicals,109
373,Internet,351
373,Telecom,681
374,Natural gas,445
375,Real estate,560
376,Real estate,560
377,Hedge funds,312
378,Computer hardware,136
379,Lego,374
380,Computer hardware,136
381,Snacks,614
381,Beverages,64
382,Chemicals,109
383,Chick-fil-A,111
384,Chick-fil-A,111
385,Chick-fil-A,111
386,Hedge funds,312
387,Semiconductors,597
388,Investments,360
389,Private equity,549
390,Microsoft,423
391,Retail,573
391,Real estate,560
392,Real estate,560
393,Investments,360
393,Real estate,560
394,Real estate,560
394,Investments,360
395,Real estate,560
396,Investments,360
397,Staffing,652
397,Baltimore Ravens,48
398,Hedge funds,312
399,Biomedical products,68
400,Oil,462
400,Banking,49
400,Telecom,681
401,Fertilizer,239
402,Banking,49
403,Construction,140
403,Mining,426
404,Construction equipment,141
405,Solar equipment,625
406,Private equity,549
407,Pharmaceuticals,517
408,Natural gas distribution,446
409,Metalworking tools,421
410,Beer,60
410,Investments,360
411,Investments,360
412,Temp agency,686
413,Beverages,64
414,Power strips,541
415,Power strip,540
416,Investments,360
417,Telecom,681
417,Oil,462
418,Private equity,549
419,Coffee,127
420,Coffee,127
421,Hotels,327
421,Energy,216
422,Steel,658
422,Mining,426
423,Real estate,560
423,Retail,573
424,Real estate,560
425,Convinience stores,149
426,Security software,591
427,Retail,573
427,Investments,360
428,Diversified,187
429,Investments,360
430,Investments,360
431,Investments,360
432,IT provider,337
433,Retail,573
434,Real estate,560
435,Diversified,187
436,Hedge funds,312
437,Finance,243
438,Food,258
438,Beverages,64
439,Private equity,549
440,Medical devices,407
441,Pharmaceuticals,517
442,Steel,658
442,Coal,120
443,Medical equipment,410
444,Record label,566
445,Oil,462
446,Real estate,560
446,Investments,360
447,Cement,101
448,Shipping,603
449,Investments,360
450,Investments,360
451,Investments,360
452,Shipping,603
453,Oil,462
453,Real estate,560
454,Package delivery,488
455,Motorcycles,435
456,Investments,360
457,Pharmaceutical ingredients,515
458,Hotels,327
458,Investments,360
459,Hotels,327
459,Investments,360
460,Gambling software,275
461,Biotech,70
462,Auto parts,37
463,Carnival Cruises,96
464,Media,405
464,Automotive,40
465,Electronics,211
466,Payments software,501
467,Payment software,499
468,Timberland,696
468,Lumber mills,392
469,Automobiles,39
470,Toyota dealerships,705
471,Diversified,187
472,Chemicals,109
